代码,名称,网格评分,日均振幅(%),震荡纯度,近20日成交额,MA变异系数,趋势斜率
002239,奥特佳,15.74,3.2,0.975,3.22 亿,0.0703,0.028
002470,金正大,15.73,3.39,0.952,4.56 亿,0.1007,0.0048
002905,金逸影视,15.73,4.64,0.991,3.25 亿,0.1768,0.0156
600486,扬农化工,15.69,3.15,0.97,3.95 亿,0.0905,0.0043
688188,柏楚电子,15.69,3.44,0.976,2.70 亿,0.078,0.0359
300821,东岳硅材,15.69,4.02,0.959,6.20 亿,0.1342,0.0114
000156,华数传媒,15.68,3.05,0.993,3.76 亿,0.0821,0.0109
002465,海格通信,15.66,3.9,0.95,32.01 亿,0.0961,0.0405
600667,太极实业,15.66,3.53,0.94,20.33 亿,0.0862,0.0258
301363,美好医疗,15.65,4.34,0.977,4.46 亿,0.13,0.0408
688523,航天环宇,15.59,5.22,0.922,5.85 亿,0.1898,0.0188
300041,回天新材,15.58,3.55,0.976,2.73 亿,0.1206,0.0016
000050,深天马Ａ,15.58,3.07,0.978,3.62 亿,0.0839,0.0087
001287,中电港,15.57,3.76,0.997,7.13 亿,0.1233,0.0175
300491,通合科技,15.56,4.99,0.987,2.20 亿,0.2135,0.0028
301378,通达海,15.49,5.2,0.995,3.03 亿,0.191,0.0427
600814,杭州解百,15.48,3.45,0.995,3.52 亿,0.1112,0.0105
000923,河钢资源,15.47,3.28,0.933,5.54 亿,0.0863,0.0115
300158,振东制药,15.45,4.35,0.989,2.56 亿,0.1775,0.0013
688297,中无人机,15.44,3.96,0.994,3.34 亿,0.134,0.0211
600133,东湖高新,15.44,4.06,0.97,5.49 亿,0.1174,0.0378
300345,华民股份,15.41,4.53,0.986,4.43 亿,0.1406,0.049
300740,水羊股份,15.41,4.27,0.976,2.78 亿,0.1621,0.0086
600378,昊华科技,15.4,3.37,0.974,3.38 亿,0.0811,0.0322
300267,尔康制药,15.39,4.07,0.968,3.92 亿,0.1368,0.0194
002452,长高电新,15.38,3.08,0.932,3.26 亿,0.0593,0.0276
300360,炬华科技,15.38,3.03,0.972,2.31 亿,0.0649,0.0268
600456,宝钛股份,15.36,3.04,0.946,8.07 亿,0.0803,0.007
